ID	10 CN A	102 CN A	12 CN A	13 CN A	16 CN A	19 CN A	22 CN A	3 CN A	45 CN A	51 CN A	59 CN A	60 CN A	62 CN A	7 CN A	9 CN A	HC102 CN A	HC103 CN A	HC105 CN A	HC52 CN A	HC53 CN A	HC55 CN A	HC57 CN A	HC61 CN A	HC62 CN A	HC65 CN A	HC66 CN A	HC68 CN A	HC69 CN A	HC71 CN A	HC72 CN A	HC73 CN A	HC74 CN A	HC76 CN A	HC80 CN A	HC81 CN A	HC82 CN A	HC83 CN A	HC86 CN A
9451	0.99354446	0.7569077	0.99985194	0.8699896	0.12127522	0.12127522	0.12127522	0.12127522	0.9996082	0.99939114	0.9773751	0.9264631	0.2586453	0.13621505	0.30364046	0.99765	0.5420693	0.91180474	0.99996644	0.36678421	0.39144284	0.13707428	0.98853284	0.8003855	0.94211197	0.12127522	0.21636909	0.22299847	0.92062753	0.91948	0.9999987	0.99999976	0.9873792	0.58359957	0.9996745	0.1468576	0.85752	0.9999759
9452	0.35672426	0.98910475	0.42004335	0.81984335	0.47750008	0.870193	0.99978095	0.56272936	0.030218916	0.41711447	0.05681216	0.12285494	0.54251546	0.7897579	0.19999696	0.14573455	0.37739807	0.13296023	0.22956705	0.13805063	0.19340299	0.047088332	0.005819552	0.054195527	0.014379886	0.1515898	0.42742005	0.12431358	0.02767084	0.025872892	0.013361395	0.077816635	0.30658597	0.123407304	0.078246474	0.8446075	0.21733095	0.2961407
9453	0.033424895	0.2720891	0.18112803	0.2720891	0.2720891	0.01944425	0.33161446	0.584044	0.34061378	0.2720891	0.64978015	0.24134648	0.73805046	0.16376664	0.42877677	0.003898056	0.017437823	0.14910153	0.2720891	0.2720891	0.2720891	0.05062418	0.002539824	0.011639778	0.2720891	0.2882477	0.2720891	0.2255771	0.021801328	0.45940983	0.28455257	0.3237719	0.009741972	0.15292646	0.14652425	0.2512044	0.08981283	0.2720891
9454	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9455	0.35270602	0.35270602	0.7146066	0.35270602	0.35270602	0.35270602	0.35270602	0.35270602	0.35270602	0.35270602	0.35270602	0.35270602	0.35270602	0.9422621	0.7890405	0.35270602	0.35270602	0.35270602	0.35270602	0.9866295	0.35270602	0.9527773	0.5809627	0.35270602	0.35270602	0.89353824	0.35270602	0.35270602	0.8312609	0.35270602	0.35270602	0.35270602	0.35270602	0.35270602	0.8243319	0.5232345	0.391522	0.35270602
9456	8.977485E-6	3.479122E-5	0.1940877	0.032910336	0.3969188	1.5542015E-6	5.7764893E-8	0.24358566	5.7955485E-6	1.5673552E-7	5.1786625E-8	5.140938E-5	5.1786625E-8	0.14376521	0.002199414	2.4908554E-4	0.15111738	0.006483069	1.7750715E-5	0.37773716	0.07352482	8.5577594E-5	3.255785E-5	0.90252405	0.0012341732	0.0023154404	6.0571387E-4	1.151004E-6	5.1786625E-8	0.9983748	0.13722633	0.5333681	0.013816036	0.052698407	0.010738504	5.1786625E-8	0.0438566	0.49705148
9457	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9459	1.0	1.0	0.47697482	0.9987625	0.9333523	1.0	1.0	0.6762239	0.9999898	1.0	1.0	0.99989986	1.0	0.99951255	1.0	0.9999937	0.48314276	0.67897	0.9965476	1.0	0.99637496	0.61110735	0.9990935	0.9999998	0.9226135	0.43407872	0.9710024	0.99999976	0.5492399	0.999999	0.021737853	0.20642564	0.9996016	0.5023391	0.9896443	1.0	0.9702687	0.017086774
946	0.38650858	0.12243979	0.26407564	0.38536385	0.79199004	0.32728767	0.23726813	0.10453228	0.031174803	0.043143094	0.010348856	0.02301168	0.41888204	0.61443186	0.17004402	0.20576355	0.6080167	0.3513208	0.43339324	0.48505774	0.8793263	0.885799	0.45212886	0.6977622	0.13144794	0.9836544	0.99799204	0.69348717	0.9939522	0.16830286	0.39187187	0.6119772	0.19595866	0.87005955	0.15393278	0.95468336	0.55160034	0.41945484
9462	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9463	0.29235238	0.9492453	0.46252716	0.08894413	0.6699409	0.057267915	0.057267915	0.9974105	0.7619571	0.057267915	0.17038745	0.8562714	0.23083018	0.22720459	0.4834809	0.18960346	0.057267915	0.11182061	0.9847561	0.9186584	0.8674309	0.97079974	0.8231769	0.9999983	0.41435105	0.9726187	0.99989045	0.73064375	0.65882385	0.9359753	0.9932078	0.49741966	0.973302	0.98126245	0.13470787	0.99998736	0.7555866	0.27605817
9464	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9465	0.27192628	0.35332182	0.36629984	0.36629984	0.46073067	0.36629984	0.18863961	0.19649236	0.23901777	0.36629984	0.32814553	0.139371	0.055422205	0.5946351	0.36629984	0.104630224	0.36629984	0.26346746	0.36629984	0.36629984	0.36629984	0.36629984	0.3154242	0.36629984	0.36629984	0.36629984	0.45528713	0.36629984	0.4661329	0.36629984	0.30998668	0.36629984	0.3920729	0.43166906	0.36629984	0.09287275	0.6863136	0.36629984
9466	0.38412464	0.38412464	0.6580148	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.60620844	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.38412464	0.43321484	0.38412464	0.6888341	0.38412464	0.38412464	0.38412464	0.38412464	0.5396637	0.38412464	0.38412464
9467	1.798646E-5	6.988874E-5	0.19842865	1.7522609E-4	0.50947875	7.2633066E-10	1.779606E-14	0.7890013	2.6917151E-12	0.0024652933	1.9882075E-6	0.022153212	2.3311936E-14	0.29164252	4.036774E-9	0.15036532	0.6847593	0.9619475	0.5976436	1.8150983E-7	0.054712772	0.35933903	8.039438E-11	6.720217E-4	1.405406E-6	1.1602084E-6	0.5095732	1.2428597E-4	0.5399666	0.0017919756	0.002575539	1.0	0.014039177	0.35069314	0.02712121	1.0000607E-6	3.848668E-5	0.9868726
