ID	10 CN A	102 CN A	12 CN A	13 CN A	16 CN A	19 CN A	22 CN A	3 CN A	45 CN A	51 CN A	59 CN A	60 CN A	62 CN A	7 CN A	9 CN A	HC102 CN A	HC103 CN A	HC105 CN A	HC52 CN A	HC53 CN A	HC55 CN A	HC57 CN A	HC61 CN A	HC62 CN A	HC65 CN A	HC66 CN A	HC68 CN A	HC69 CN A	HC71 CN A	HC72 CN A	HC73 CN A	HC74 CN A	HC76 CN A	HC80 CN A	HC81 CN A	HC82 CN A	HC83 CN A	HC86 CN A
1002	0.7952564	0.6691276	0.5475961	0.38970047	0.38586366	0.32170165	0.6542908	0.52293545	0.7489847	0.8194784	0.8194784	0.67204237	0.66256016	0.5614349	0.8194784	0.8194784	0.4141059	0.8194784	0.6814876	0.102218926	0.48196298	0.5268693	0.36208165	0.17890018	0.6534103	0.5121263	0.7181291	0.7931908	0.7591059	0.21690106	0.76840556	0.39625734	0.11114633	0.583387	0.7723513	0.47209346	0.43699777	0.5500188
10020	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10022	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10023	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10024	0.77247024	0.0047166944	0.7065332	0.80467254	0.34976006	0.80467254	0.15660334	0.48651397	0.80467254	0.80467254	0.80467254	0.80467254	0.80467254	0.7251413	0.80467254	0.6604402	0.7909734	0.80467254	0.12358272	0.014051378	0.20244992	0.19617665	0.016151547	0.80467254	0.80370945	0.6390426	0.13547188	0.63573205	0.05595821	0.5134146	0.5207597	0.80467254	0.22322237	0.40054584	0.80467254	0.008665919	0.69945824	0.80467254
10025	3.8141012E-4	0.01442039	7.1525574E-7	0.5708468	0.46440125	5.327463E-4	0.2992382	0.07675558	0.00876224	0.54396856	2.194047E-4	0.03198874	0.08308202	0.0043204427	0.042991817	0.39796603	0.7539855	0.9048884	0.24792182	0.0	7.6907873E-4	0.0	0.0017626286	3.248453E-5	3.8665533E-4	0.0	8.184314E-4	4.6783686E-4	1.1920929E-6	1.0550022E-5	0.4485762	0.11695886	4.5132637E-4	0.0012752414	2.848506E-4	0.04031402	9.6040964E-4	0.16549647
10026	0.31476152	0.920398	0.54731363	0.7210263	0.6653688	0.7136781	0.7629334	0.30407572	0.66145205	0.67147964	0.58656085	0.196661	0.66200805	0.33702207	0.808371	0.48862052	0.36914116	0.18727624	0.11309874	0.9140152	0.7098832	0.84441173	0.8099041	0.83306396	0.20749187	0.3289293	0.22913277	0.3675902	0.52667737	0.77261513	0.79513365	0.15961647	0.835793	0.6842315	0.46157658	0.6300143	0.668035	0.20310938
1003	6.6298246E-4	0.0	0.6500085	1.19268894E-4	0.78187567	0.03751707	0.0	0.78187567	0.78187567	0.78187567	5.9604645E-8	0.59467655	0.14217454	5.9604645E-7	0.78187567	0.0	0.5037327	0.5360013	0.7670833	0.44575417	0.5831904	0.78187567	1.2791157E-4	1.7881393E-7	0.65810364	0.2855109	0.07072234	0.031745553	0.34651762	0.78187567	0.78187567	0.6934012	0.78187567	0.78187567	0.3895809	0.0	0.003964424	0.78187567
10036	0.5804887	0.09900993	0.18671441	0.5804887	0.5804887	0.5804887	0.2505914	0.012843847	0.3977481	0.5804887	0.5804887	0.5804887	0.5804887	0.5089246	0.5804887	0.5804887	0.5804887	0.5804887	0.38872004	0.5804887	5.7816505E-5	4.3570995E-5	0.030508757	0.13339263	0.41716468	0.1927787	0.5804887	0.5804887	0.0	0.38271224	0.16045272	0.5804887	4.1127205E-6	0.31675595	0.5804887	0.5804887	0.47155386	0.45713782
10038	0.9050261	0.39336622	0.28280187	0.20548207	0.25068432	0.7343347	0.7844217	0.1522302	0.12155765	0.89029115	0.9551866	0.23150492	0.81045467	0.35907352	0.42518926	0.97076344	0.28292185	0.007454574	0.048813045	0.59732056	0.6765381	5.1528215E-4	3.5762787E-7	0.9518901	0.13580757	0.4158975	0.0017845035	0.57163763	0.35647404	0.66255736	0.8871382	0.4008317	0.75186056	0.06715357	0.47342664	0.70624423	0.5319725	0.14332587
10039	0.24104142	0.6604585	0.4671427	0.56200504	0.6604585	0.6604585	0.6604585	0.6604585	0.5489372	0.6604585	0.6604585	0.6604585	0.6604585	0.6604585	0.6604585	0.6604585	0.5524966	0.6604585	0.16050392	0.6604585	0.44809508	0.6604585	0.11111921	0.6604585	0.15035856	0.055188954	0.5624052	0.410061	0.15107113	0.6604585	0.6604585	0.39194667	0.6604585	0.0032513738	0.6604585	0.6604585	0.6604585	0.6604585
1004	0.53873426	0.53873426	0.53873426	0.53873426	0.5177452	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.20007408	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426	0.53873426
10040	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10042	0.100553095	0.038461864	7.750988E-4	0.029287457	0.100316286	5.51939E-5	0.38421047	0.0	0.0137963295	0.0012624264	0.0	0.0	3.4999847E-4	0.04050809	0.0	1.0865927E-4	0.06764388	0.02050668	7.1167946E-5	0.52657855	0.0	0.0	0.0	0.0	3.0398369E-6	0.0	0.0	5.9604645E-8	0.0	0.0	0.0064047575	0.0	0.0	0.0	0.0	0.0	9.357929E-6	0.0
10043	0.9559705	0.6145003	0.26411283	0.9771136	0.9771136	0.8114631	0.9771136	0.48575956	0.9771136	0.95882434	0.9771136	0.9618523	0.9473589	0.9771136	0.31929547	0.9771136	0.6426397	0.63168633	0.78193927	0.0075537562	0.0012019873	0.055883706	0.80871964	0.39632845	0.8882505	0.005721092	0.057949603	0.16973507	0.5069369	0.0733732	0.044718087	0.41283357	0.0149073005	0.86916846	0.9281131	0.16514206	0.79532135	0.92075664
10044	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10045	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10046	0.888996	0.95923895	0.8380839	0.14526767	0.09871173	0.7572561	0.7870622	0.7898454	0.92006105	0.2486977	0.9947348	0.8161589	0.8581258	0.18863416	0.06653017	0.9617003	0.23572093	0.117156744	0.50814736	0.38670516	0.0080317855	0.43525422	0.25693345	0.26423907	0.9583074	0.0011638999	0.7862205	0.7370893	0.971798	0.8278318	0.5479921	0.8560822	0.0046910048	0.64222944	0.7823672	0.9577469	0.3440507	0.9895343
10047	0.7336772	0.17518973	0.0	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.0	0.7336772	0.7336772	0.7336772	0.0	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.7336772	0.4248219	0.057789207	0.0	0.7336772	0.0	0.7336772	0.7336772	1.1920929E-7	0.7336772	0.7336772	0.7336772	0.7336772
10048	1.8298626E-4	0.06699312	6.943345E-4	0.016688228	0.0	9.4103813E-4	2.7227402E-4	0.11745775	0.91144973	0.0	6.573796E-4	0.8295281	0.6313719	0.5470797	0.03854823	0.088882804	0.0	0.0	3.258586E-4	0.47550094	0.13440615	0.9999898	0.9999974	0.08155596	0.0525198	0.96432453	2.9802322E-7	0.7896544	0.0035185218	0.06655294	0.88573325	0.99520665	0.99999243	0.9993714	0.3332196	6.455183E-5	0.9806687	0.99503535
10049	0.0016608238	1.1920929E-7	0.22487068	0.008011043	0.33234584	0.047560394	0.014204681	0.38851655	0.40343356	7.7974796E-4	0.1959278	0.4074396	0.0068382025	0.35293508	0.8523819	0.33791095	0.04262644	0.065273404	0.026894748	0.8071838	0.19110167	0.9817881	0.97568697	1.860857E-4	0.63768446	0.9413708	0.4532131	0.48278975	0.80000585	0.5435436	9.036064E-5	0.07503873	0.8013972	0.23300076	0.4164363	0.37896544	0.24327528	0.2064423
1005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10050	0.31288946	0.0992018	0.024040103	0.7112931	0.38907182	0.35145783	0.3975898	0.76352084	0.76352084	0.6743973	0.76352084	0.76352084	0.76352084	0.0063364506	0.71219975	0.76352084	0.14448792	0.7490994	0.38492948	0.76352084	0.5792973	0.76352084	0.7487261	0.76352084	0.76352084	0.17536253	0.23696053	0.12207669	0.3343153	0.76352084	0.44294882	0.2270804	0.1074841	0.76352084	0.35964972	0.76352084	0.55678797	0.76352084
10051	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
