CBL	UBE2G1
POLA1	SERPINA3
CBL	LCP2
CBL	CRKL
CBL	SPRY2
CBL	KHDRBS1
CBL	EPHB6
CBL	UBE2D2
CBL	UBE2G2
CBL	PIK3R2
CD151	ITGA3
CBL	UBE2L3
CTRC	SERPINA3
CBL	CD2AP
CD151	ITGB1
CBL	SORBS1
CBL	SLA2
CBL	PTPN22
CD81	SHC1
CBL	FRS2
CBL	EIF5B
SMAD5	SNRPA
DNAJC1	SERPINA3
CBL	CDKL2
CBL	UBASH3B
PGGT1B	RHOB
PDE6D	RHOB
ARHGDIG	RHOB
RHOB	RHPN2
ARHGEF3	RHOB
RHOC	ROCK1
RHOC	RTKN
CIT	RHOC
ATN1	PSMA3
PLCG1	RHOA
KCNA2	RHOA
PRKCA	RHOA
RHOA	TGM2
FLNA	RHOA
OPHN1	RHOA
MCF2	RHOA
KTN1	RHOA
RHOA	VAV2
ATN1	GIGYF1
PKN1	RHOA
DGKQ	RHOA
PRKACA	RHOA
RHOA	ROCK1
RHOA	TRIO
ARHGDIA	RHOA
PPP1R12A	RHOA
RHOA	RTKN
CNTNAP1	RHOA
PLD1	RHOA
CTSB	SLPI
PKN2	RHOA
PDE6D	RHOA
ARHGAP1	RHOA
ARHGDIB	RHOA
ARHGDIG	RHOA
AKAP13	RHOA
RABAC1	RHOA
ARHGEF4	RHOA
RHOA	VAV3
ARHGEF12	RHOA
CTSS	SLPI
CIT	RHOA
ARHGEF11	RHOA
ICMT	RHOA
RHOA	SRGAP1
DAAM1	RHOA
RHOA	RHPN2
RHOA	SH3BP1
ARHGEF2	RHOA
DEF6	RHOA
GMIP	RHOA
CTSL1	SLPI
RAP1GDS1	RHOA
RHOA	TRPC1
CNKSR1	RHOA
ARHGEF18	RHOA
ARHGEF3	RHOA
MCF2L	RHOA
DOCK7	RHOA
PSMD11	SMAD5
ADRA1B	FLNC
ELANE	SLPI
RHOA	RHPN1
RHOA	SPRED2
SMAD5	U2AF2
SMAD5	SOX5
OAZ1	ODC1
OAZ2	ODC1
ACP5	SPP1
PRKCA	SPP1
MMP7	SPP1
ITGAV	SPP1
GRN	SLPI
ITGA9	SPP1
PRKG1	SPP1
HBG2	SMAD5
NBR1	TTN
CIB1	NBR1
FEZ1	NBR1
OSBP	VAPA
RBM4	SMAD5
AVP	OXTR
OXT	OXTR
KLK3	SLPI
PCSK6	PMCH
FLG	PCSK6
PAX2	RB1
MAPK8	PAX2
PAX2	WT1
PAX2	PAXIP1
PAX2	SFRP2
HIRA	PAX7
MEOX1	PAX1
PRSS2	SLPI
MEOX2	PAX1
MYB	PAX5
ID3	PAX5
KPNA2	PAX5
KPNA1	PAX5
DAXX	PAX5
PAX5	TLE4
RYR2	SMAD5
NKX2	PAX8
ATN1	SIAH1
PAX8	SMAD3
PAX8	WBP2
KDM5B	PAX9
PRRX1	SRF
GTF2I	PRRX1
MAFG	PRRX1
MAFF	PRRX1
REG1A	REG3A
CTRC	SPINK1
PLSCR1	SLPI
PRSS7	SPINK1
NRSN1	SPINK1
SMAD5	VPS24
REG3A	TRHDE
BCAT1	SMAD5
PPIL4	SMAD5
SMAD5	SNRNP70
ELAVL4	NFX1
SMAD5	WWP1
SPG20	ZFYVE9
PTH	PTH1R
MEP1A	PTH
PTH	PTH2R
CCND1	PCNA
CCND1	RB1
CCND1	SP1
CCND1	TAF1
AR	CCND1
CCND1	IFI27
SDC2	SERPINC1
CCND1	CDKN1B
CCND1	MYBL2
CCND1	PRKACA
CCND1	NCOA3
CCND1	NCOA1
CCND1	EP300
CCND1	CDK6
AKAP8	CCND1
CCND1	GSK3B
KLK2	SERPINC1
CCND1	CCNDBP1
CCND1	KAT2B
CCND1	RBX1
CCND1	THRA
CCND1	THRB
CCND1	HDAC3
CCND1	ORC4L
CCND1	CUL3
CCND1	DMTF1
CCND1	HERC5
PLG	SERPINC1
CCND1	MCM10
CCND1	NPDC1
BMP4	ZFYVE9
PTH1R	PTHLH
PTH1R	SLC9A3R1
PTH1R	SLC9A3R2
KLK3	PTHLH
KPNB1	PTHLH
CLU	PON1
DSG3	JUP
ADRA1A	FLNC
F2	SERPINC1
CASP3	DSG3
TAP1	TAP2
PDIA3	TAP1
TAP1	TAPBP
TAP2	TAPBP
PAM	PRKCA
KALRN	PAM
PAM	RASSF9
PAM	UHMK1
NUP85	PIK3R1
NUP85	VIM
NUP85	PRKACA
DYNC1LI1	NUP85
PLIN1	PRKACA
PRPH	PRPH2
PEX10	PEX2
ABCD3	COL6A2
ABCD1	ABCD3
CA2	SLC9A1
ABCD3	PEX19
ABCD2	ABCD3
MAPK1	PPARA
PPARA	RXRA
NCOR2	PPARA
NCOR1	PPARA
DUT	PPARA
MAPK3	PPARA
DAP3	PPARA
NRIP1	PPARA
NCOA1	PPARA
EP300	PPARA
MED1	PPARA
PPARA	PPARGC1A
AKAP13	PPARA
GADD45B	PPARA
GADD45G	PPARA
MED24	PPARA
NR1H3	PPARA
SLC9A1	YWHAB
AIP	PPARA
NRBF2	PPARA
MECR	PPARA
SCYL2	ZFYVE9
ACTN4	SLC2A4
GAPDH	SLC2A4
ACOX1	SLC2A4
PDC	YWHAZ
PDC	PRKACA
MAP4K4	SLC9A1
CAMK2A	PDC
ACP5	GPC4
ALPP	GPLD1
ALPP	PIGK
PRKAR1A	SLC2A4
PDGFRB	PIK3R1
PECAM1	PIK3R1
PFN1	PIK3R1
PIK3R1	PTPN11
RAB7A	SLC2A4
PIK3R1	TYK2
CDKN2A	NCL
CD28	PIK3R1
CD7	PIK3R1
CD4	PIK3R1
GTF2H1	PIK3R1
HRAS	PIK3R1
FES	PIK3R1
PIK3R1	SRC
SLC9A1	TESC
