DCLRE1C	PRKDC
CTTN	SRC
ESR1	NR0B2
IRS2	CRK
JDP2	ATF2
JUND	FOSB
ARNT	HIF3A
KDR	VEGFD
SKI	SMAD1
ZBTB17	MYC
LRP2	LRPAP1
BCL2	BAX
SDC4	MDK
NCOA2	MEF2C
HDAC2	SP3
SP1	HDAC2
BAK1	MCL1
TP53	BAK1
JUP	CDH1
PTK2B	PTPN11
UNC13B	RIMS1
NR0B2	ESR2
CTNND1	CDH2
TERF2	WRN
SMG5	HDAC8
CRK	DOCK1
TRAF2	TRAF1
ILK	PARVG
NFKB1	BCL3
GATA1	HEY1
PRC1	PLK1
MAPK8	NFATC1
PTK2B	BCAR1
GATA2	HDAC3
XIAP	MAP3K7
ESR1	ANP32A
NCK1	DOK1
NDN	E2F1
SAFB	ESR1
SMAD1	SMURF2
RAF1	PEBP1
PPP1CC	AURKB
YY1	RYBP
FOXO1	SKP2
SHC1	GRB2
GATA1	HDAC4
ITGA6	COL17A1
SRC	ITGB3
JUND	JUNB
CHUK	TNFAIP3
TNFAIP3	IKBKG
CDK4	CCND2
GNAQ	CCR5
TFDP1	E2F1
DLG4	NOS1
CREBBP	HTT
ETS2	ETS1
HSPB1	CYCS
CAPNS1	CAPN1
PROC	PROS1
F2R	F2
HSP90AA1	AIP
TNFSF11	TNFRSF11A
SRF	HOPX
GNB1	GNGT2
SRC	PTK2B
CCND3	CDK6
GH1	GHR
MEF2C	HDAC9
MYD88	TLR2
CD2	CD247
BAX	BCL2L1
BMPR2	BMPR1A
FAS	DAXX
IRS1	IGF1R
TGFBR2	TGFBR1
SMAD4	SKIL
CDK2	CCNA1
KNG1	BDKRB2
CREBBP	EP300
STAT1	STAT2
GATA4	NKX2-5
HDAC5	MEF2C
CREB1	CREBBP
ARHGDIB	RHOA
SP3	SP1
EP300	PELP1
CTLA4	CD80
ERBB3	ERBB2
PIN1	MYT1
RXRA	PPARA
SP100	PML
PPARGC1A	PPARA
AKT1	HSP90AA1
IL3RA	CSF2RB
PML	SUMO1
SRC	KHDRBS1
LEPR	LEP
IL12RB2	IL12RB1
HDAC1	SP1
TRAF2	TNFRSF9
FYN	CD36
MITF	EP300
YWHAH	HDAC5
EGFR	SRC
E2F1	RBL1
IFNAR1	IFNAR2
NFE2L2	KEAP1
EPOR	JAK2
CD86	CTLA4
PELP1	CREBBP
SHH	PTCH1
GNAQ	AGTR1
CXCR4	CD4
ERBB2	EGFR
YWHAH	FOXO3
YWHAH	BAD
HDAC9	SUMO1
CCNH	CDK7
AGO2	DICER1
CLCA1	ITGB4
ITGA6	RPSA
DST	ITGB4
ITGB4	MET
TP73	ABL1
IRS2	PIK3R1
PIK3R1	IRS1
PLEC	ITGB4
DST	COL17A1
PAK1	RAC1
ERBIN	ITGB4
PIK3R1	ERBB2
PTK2	ITGB4
ITGB4	FYN
DST	ERBIN
ITGA6	CD151
ITGB4	COL17A1
PLEC	COL17A1
DSP	COL17A1
YWHAZ	MST1R
YWHAQ	MST1R
MST1R	YWHAE
YWHAB	MST1R
SHC1	ITGB4
ITGB4	ERBB2
EGFR	AR
KIF7	GLI2
SMO	PTCH1
YWHAE	GLI1
PTCH1	GRK2
KIF7	KIF27
DYRK1A	GLI1
SUFU	STK36
GLI3	YWHAE
GLI3	STK36
GLI1	STK36
NFAM1	ZAP70
NFAM1	SYK
CRK	NEDD9
FYN	PAG1
CD247	ZAP70
WIPF1	ZAP70
RAP1A	RASGRP2
CD5	ZAP70
PIK3R1	CTLA4
CBLB	ZAP70
ZAP70	PLCG1
PLCG1	GRB2
PIK3R1	PIK3R2
LCP2	ITK
ZAP70	FCRL3
LCK	CD8A
LCK	GRAP
GRAP	FYN
PTPRC	SKAP1
LCP2	VAV1
VAV1	ARHGDIB
LCP2	YWHAZ
SKAP1	RASGRP1
ZAP70	CBL
PTK2B	ZAP70
DNM2	VAV1
GRB2	ITK
CARD11	BCL10
PLCG1	LCP2
ZAP70	CARD11
MAP2K1	MAPK1
PAK1	GIT2
VASP	FYB
FYB	ENAH
FYB	EVL
TUBB	VAV1
PTPN22	CBL
PTPN11	GAB2
GAB2	ZAP70
LAT	GAB2
ABL1	ZAP70
ZAP70	RASA1
ZAP70	CD3E
ZAP70	FYN
PTPN3	CD247
DUSP3	ZAP70
CD247	TRAT1
TRAT1	CD3E
SYK	CBLB
PTK2B	LCK
ARHGEF7	PAK1
PAK1	NCK1
TXK	FYN
PTK2B	PXN
PTK2B	GRB2
ZAP70	SHC1
VAV1	PTK2B
LCK	MUC1
CRKL	WIPF1
MUC1	ZAP70
MUC1	CTNNB1
FYN	WAS
PSTPIP1	WAS
LCK	ZAP70
FYN	SKAP1
CRK	ZAP70
SKAP1	SRC
SKAP1	GRB2
PLCG1	GRAP
SKAP2	FYB
SHC1	GRAP
GRAP	SOS1
GRB2	CBLB
SHC1	CD247
FYN	PTK2B
CBLB	CRKL
CD28	PIK3R1
ARHGDIB	SHC1
CBL	FYN
SOS2	PLCG1
NCL	CD3E
LCK	PTK2
LCK	SKAP1
FYN	SYK
SYK	CBL
UNC119	FYN
LCK	UNC119
ZAP70	SLA2
CD247	SLA2
LAT	VAV1
BCL10	RIPK2
CD247	DOCK2
WAS	PTPN12
ZAP70	SHB
PIK3R1	ICOS
PIK3R2	CD28
SHB	LAT
TUBA4A	ZAP70
ZAP70	TUBB
VAV3	LCP2
ZAP70	DEF6
VAV1	SHB
CBL	CRK
TUBA4A	VAV1
CD2AP	PSTPIP1
LAX1	GRB2
PRKCQ	AKT1
PTPRH	LCK
YWHAQ	CBL
ITPR1	FYN
PLCG1	SOS1
SKAP1	LYN
GRB2	ZAP70
CD247	GRB2
CD247	JAK3
STAT3	RELA
LIFR	IL6ST
IRS1	JAK1
RICTOR	MTOR
STAT3	FOS
JAK2	JAK1
IL6ST	OSM
JAK1	RAF1
RAF1	HRAS
OSMR	OSM
SRC	STAT3
